No.,회계연도,소관명,(세입)예산현액(원),(세입)수납액(원),(세입)증감액(원),(세출)예산현액(원),(세출)지출액(원),(세출)증감액(원),다음년도이월액(원),불용액(원)
"95","2023","방송통신위원회","30,584,000,000","5,575,314,530","-25,008,685,470","49,457,000,000","47,186,857,980","2,270,142,020","133,000,000","2,137,142,020"
"96","2023","방위사업청","331,955,000,000","406,881,952,030","74,926,952,030","17,298,894,059,890","16,867,083,952,960","431,810,106,930","263,468,061,690","168,342,045,240"
"97","2023","법무부","1,467,313,000,000","1,645,420,887,350","178,107,887,350","4,307,302,498,570","4,252,355,207,960","54,947,290,610","13,034,199,860","41,913,090,750"
"98","2023","법제처",0,"3,896,550","3,896,550","43,728,200,000","42,621,885,400","1,106,314,600",0,"1,106,314,600"
"99","2023","병무청","300,000,000","486,807,820","186,807,820","333,109,000,000","307,488,320,140","25,620,679,860",0,"25,620,679,860"
"100","2023","보건복지부","719,984,000,000","1,344,305,306,050","624,321,306,050","68,728,012,425,870","67,500,736,366,640","1,227,276,059,230","26,373,620,990","1,200,902,438,240"
"101","2023","산림청","1,170,052,000,000","1,189,812,530,550","19,760,530,550","3,499,020,704,770","3,401,453,057,500","97,567,647,270","67,797,968,420","29,769,678,850"
"102","2023","산업통상자원부","8,300,418,000,000","7,816,584,478,630","-483,833,521,370","11,244,738,323,140","11,004,092,388,930","240,645,934,210","22,383,557,660","218,262,376,550"
"103","2023","새만금개발청","7,938,000,000","7,996,886,950","58,886,950","153,645,095,290","135,380,339,400","18,264,755,890","901,736,640","17,363,019,250"
"104","2023","소방청","4,246,000,000","3,775,775,940","-470,224,060","327,678,955,440","288,773,529,770","38,905,425,670","28,645,148,940","10,260,276,730"
"105","2023","식품의약품안전처","38,707,000,000","36,184,750,140","-2,522,249,860","685,883,860,930","667,519,435,550","18,364,425,380","3,604,179,270","14,760,246,110"
"106","2023","여성가족부","26,776,000,000","12,778,602,090","-13,997,397,910","717,515,294,990","702,271,257,530","15,244,037,460","3,629,764,620","11,614,272,840"
"107","2023","외교부","267,330,500,000","396,152,573,530","128,822,073,530","3,284,781,550,320","3,162,910,216,970","121,871,333,350","9,003,540,800","112,867,792,550"
"108","2023","원자력안전위원회","1,771,000,000","2,129,603,540","358,603,540","145,775,000,000","143,530,480,350","2,244,519,650",0,"2,244,519,650"
"109","2023","인사혁신처","5,962,000,000","6,306,181,820","344,181,820","5,117,075,361,860","5,111,277,738,250","5,797,623,610",0,"5,797,623,610"
"110","2023","재외동포청","4,500,000","666,040","-3,833,960","56,133,297,920","42,128,736,120","14,004,561,800","3,240,859,550","10,763,702,250"
"111","2023","조달청","517,227,000,000","636,609,053,050","119,382,053,050","524,710,243,460","494,094,488,770","30,615,754,690","15,182,318,890","15,433,435,800"
"112","2023","중소벤처기업부","210,210,000,000","291,905,443,330","81,695,443,330","5,770,142,433,820","5,759,943,393,920","10,199,039,900",0,"10,199,039,900"
"113","2023","중앙선거관리위원회","863,000,000","871,413,710","8,413,710","406,822,292,230","399,966,767,540","6,855,524,690","690,400","6,854,834,290"
"114","2023","진실·화해를위한과거사정리위원회",0,"29,527,940","29,527,940","19,350,358,860","16,455,599,770","2,894,759,090","1,281,168,780","1,613,590,310"
"115","2023","질병관리청","78,776,000,000","623,279,674,050","544,503,674,050","3,214,023,565,810","3,060,601,881,380","153,421,684,430","65,463,479,820","87,958,204,610"
"116","2023","통계청","4,400,000,000","3,457,382,800","-942,617,200","393,775,060,000","383,990,351,630","9,784,708,370",0,"9,784,708,370"
"117","2023","통일부","2,006,000,000","1,936,740,600","-69,259,400","327,447,182,790","256,247,275,120","71,199,907,670","109,556,950","71,090,350,720"
"118","2023","특허청","867,220,000,000","851,542,046,580","-15,677,953,420","867,220,000,000","834,887,591,160","32,332,408,840",0,"32,332,408,840"
"119","2023","해양경찰청","5,388,000,000","5,422,598,090","34,598,090","1,829,809,934,130","1,805,471,901,060","24,338,033,070","19,559,225,360","4,778,807,710"
"120","2023","해양수산부","1,695,364,000,000","1,773,800,349,370","78,436,349,370","7,566,095,530,060","7,078,951,130,960","487,144,399,100","242,803,377,060","244,341,022,040"
"121","2023","행정안전부","68,671,000,000","147,070,374,660","78,399,374,660","80,607,559,485,390","72,353,753,766,830","8,253,805,718,560","30,917,259,600","8,222,888,458,960"
"122","2023","행정중심복합도시건설청","225,034,000,000","274,854,943,290","49,820,943,290","492,110,128,360","400,331,677,900","91,778,450,460","87,820,540,020","3,957,910,440"
"123","2023","헌법재판소","39,000,000","35,831,930","-3,168,070","55,492,000,000","53,751,783,520","1,740,216,480",0,"1,740,216,480"
"124","2023","환경부","6,816,181,000,000","6,969,039,126,530","152,858,126,530","18,618,505,230,820","17,238,607,370,740","1,379,897,860,080","184,682,126,050","1,195,215,734,030"
"125","2022","5·18민주화운동 진상규명조사위원회",0,"41,901,920","41,901,920","14,213,690,000","11,912,994,680","2,300,695,320","603,396,060","1,697,299,260"
"126","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회",0,"53,544,920","53,544,920","15,883,361,960","10,357,996,370","5,525,365,590",0,"5,525,365,590"
"127","2022","감사원","716,000,000","563,970,880","-152,029,120","135,444,096,450","127,203,683,840","8,240,412,610","1,567,964,590","6,672,448,020"
"128","2022","개인정보보호위원회","2,906,000,000","3,362,564,850","456,564,850","50,069,365,000","48,191,984,510","1,877,380,490",0,"1,877,380,490"
"129","2022","경찰청","1,079,654,000,000","1,374,688,482,330","295,034,482,330","12,318,870,390,310","12,080,754,949,060","238,115,441,250","17,958,410,800","220,157,030,450"
"130","2022","고용노동부","141,061,000,000","538,360,261,110","397,299,261,110","10,594,513,966,500","8,988,240,041,830","1,606,273,924,670","2,601,600,380","1,603,672,324,290"
"131","2022","고위공직자범죄수사처",0,"142,559,650","142,559,650","23,721,358,580","18,301,839,120","5,419,519,460","1,633,384,650","3,786,134,810"
"132","2022","공정거래위원회","391,433,000,000","673,669,016,560","282,236,016,560","158,607,889,400","154,840,621,080","3,767,268,320","1,963,004,000","1,804,264,320"
"133","2022","과학기술정보통신부","10,293,634,000,000","9,904,044,890,940","-389,589,109,060","19,879,744,980,300","18,901,145,902,890","978,599,077,410","26,685,368,940","951,913,708,470"
"134","2022","관세청","37,568,000,000","58,216,559,120","20,648,559,120","612,971,466,470","589,268,675,950","23,702,790,520","3,859,149,580","19,843,640,940"
"135","2022","교육부","4,055,303,000,000","4,327,205,340,840","271,902,340,840","99,440,674,207,360","99,272,285,679,820","168,388,527,540","13,371,118,310","155,017,409,230"
"136","2022","국가교육위원회",0,0,0,"1,455,299,000","1,220,447,370","234,851,630","27,546,190","207,305,440"
"137","2022","국가보훈처","9,304,000,000","6,381,472,590","-2,922,527,410","5,760,645,637,640","5,663,049,854,750","97,595,782,890","34,260,606,180","63,335,176,710"
"138","2022","국가인권위원회","12,000,000","9,816,870","-2,183,130","41,467,621,410","39,105,471,030","2,362,150,380",0,"2,362,150,380"
"139","2022","국가정보원","7,719,000,000","42,317,964,910","34,598,964,910","839,725,550,500","778,472,944,330","61,252,606,170","8,412,847,690","52,839,758,480"
"140","2022","국무조정실 및 국무총리비서실","23,000,000","286,499,820","263,499,820","662,827,124,410","629,859,711,600","32,967,412,810","552,969,000","32,414,443,810"
"141","2022","국민권익위원회","539,000,000","1,178,726,690","639,726,690","92,793,000,000","88,484,439,300","4,308,560,700",0,"4,308,560,700"
"142","2022","국방부","1,746,259,000,000","1,768,988,992,600","22,729,992,600","39,699,588,628,190","37,721,319,416,580","1,978,269,211,610","1,125,100,962,870","853,168,248,740"
"143","2022","국세청","548,192,000,000","492,821,303,280","-55,370,696,720","1,922,221,000,000","1,900,294,158,010","21,926,841,990","287,547,920","21,639,294,070"
"144","2022","국토교통부","15,951,474,000,000","16,255,958,602,830","304,484,602,830","40,862,300,817,530","39,538,701,853,410","1,323,598,964,120","795,002,517,600","528,596,446,520"
"145","2022","국회","4,163,000,000","3,764,895,850","-398,104,150","720,496,519,540","655,470,843,290","65,025,676,250","9,421,520,470","55,604,155,780"
"146","2022","금융위원회","281,749,000,000","316,551,127,000","34,802,127,000","4,156,769,286,380","4,151,815,826,990","4,953,459,390","90,363,630","4,863,095,760"
"147","2022","기상청","21,419,000,000","5,692,741,280","-15,726,258,720","475,242,462,170","441,570,829,270","33,671,632,900","15,446,953,490","18,224,679,410"
"148","2022","기획재정부","498,780,137,950,000","495,666,295,291,510","-3,113,842,658,490","22,841,732,246,280","19,934,756,410,910","2,906,975,835,370","14,774,104,490","2,892,201,730,880"
"149","2022","농림축산식품부","16,975,645,000,000","17,293,886,363,060","318,241,363,060","19,248,224,399,650","18,122,046,006,730","1,126,178,392,920","932,557,415,550","193,620,977,370"
"150","2022","농촌진흥청","17,541,000,000","15,954,682,850","-1,586,317,150","1,166,143,169,220","1,141,396,990,740","24,746,178,480","5,876,352,920","18,869,825,560"
"151","2022","대법원","789,450,000,000","723,403,230,910","-66,046,769,090","2,042,688,502,240","1,954,787,648,770","87,900,853,470","12,958,578,890","74,942,274,580"
"152","2022","대통령경호처","75,000,000","333,024,450","258,024,450","106,575,123,000","103,821,880,270","2,753,242,730","148,616,000","2,604,626,730"
"153","2022","대통령비서실 및 국가안보실","297,000,000","664,949,280","367,949,280","93,132,000,000","84,250,592,790","8,881,407,210",0,"8,881,407,210"
"154","2022","문화재청","54,975,000,000","46,335,981,930","-8,639,018,070","1,078,142,177,030","1,040,988,625,000","37,153,552,030","17,610,590,430","19,542,961,600"
"155","2022","문화체육관광부","223,607,000,000","404,249,958,340","180,642,958,340","4,109,218,591,490","3,929,520,975,000","179,697,616,490","56,645,640,080","123,051,976,410"
"156","2022","민주평화통일자문회의","5,000,000","12,112,110","7,112,110","33,728,000,000","32,685,666,130","1,042,333,870",0,"1,042,333,870"
